date,소비자물가등락률
1969-12,12.4
1970-01,14.9
1970-02,15.7
1970-03,16.5
1970-04,17.4
1970-05,17.5
1970-06,17.1
1970-07,17
1970-08,16.9
1970-09,16.7
1970-10,16.4
1970-11,16.1
1970-12,16
1971-01,15.9
1971-02,15.9
1971-03,15.7
1971-04,14.9
1971-05,14.3
1971-06,14.2
1971-07,14.3
1971-08,14.5
1971-09,14.5
1971-10,14.2
1971-11,13.9
1971-12,13.5
1972-01,7.9
1972-02,8.5
1972-03,9.1
1972-04,9.7
1972-05,10.5
1972-06,11.2
1972-07,11.6
1972-08,12
1972-09,12.1
1972-10,12.1
1972-11,11.9
1972-12,11.7
1973-01,7.9
1973-02,6.3
1973-03,4.9
1973-04,4.2
1973-05,3.8
1973-06,3.4
1973-07,3
1973-08,2.6
1973-09,2.5
1973-10,2.5
1973-11,2.7
1973-12,3.2
1974-01,12.8
1974-02,15.6
1974-03,17.9
1974-04,19.5
1974-05,20.4
1974-06,21
1974-07,21.6
1974-08,22.5
1974-09,23.2
1974-10,23.7
1974-11,24.1
1974-12,24.3
1975-01,25.4
1975-02,23.3
